NOMCODE;QTY;PART NUMBER;FABRICANT;PART DESC;REFERENCE;VALUE;TENSION;TOLE;NOTE
185-0700;1;;TDK;Condensateur 0402 X5R;C71;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C72;100nF;16V;20%;
185-0110;1;;TDK;Condensateur 0402 NPO;C73;33pF;50V;5%;
185-0110;1;;TDK;Condensateur 0402 NPO;C74;33pF;50V;5%;
185-0100;1;;TDK;Condensateur 0402 NPO;C75;22pF;50V;5%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C76;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C77;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C78;100nF;16V;20%;
182-5635;1;;Vishay;Condensateur cms 0603 NPO ou COG;C79;62pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C80;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C81;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C82;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C83;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C84;100nF;16V;20%;
181-0500;1;293D105X9016A2WE3;Vishay;Condensateur tantale cms taille A;C85;1µF;16V;;
185-0600;1;;TDK;Condensateur 0402 X7R;C86;10nF;50V;20%;
182-5750;1;;AVX;Condensateur cms 0603 X7R;C87;10nF;50V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C88;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C89;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C90;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C91;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C92;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C93;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C94;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C95;10nF;50V;20%;
SANS;1;;Vishay;Condensateur cms 0603 NPO ou COG;C96;NC;;;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C97;4.7µF;25V;10%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C98;4.7µF;25V;10%;
185-0600;1;;TDK;Condensateur 0402 X7R;C99;10nF;50V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C100;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C101;100nF;16V;20%;
185-0300;1;;TDK;Condensateur 0402 NPO;C102;470pF;16V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C103;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C104;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C105;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C106;10µF;6.3V;10%;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C107;68pF;;;
185-0030;1;;Vishay;Condensateur cms 0402 NPO ou COG;C108;6.8pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C109;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C110;10nF;50V;20%;
185-0110;1;;TDK;Condensateur 0402 NPO;C111;33pF;50V;5%;
185-0110;1;;TDK;Condensateur 0402 NPO;C112;33pF;50V;5%;
185-0100;1;;TDK;Condensateur 0402 NPO;C113;22pF;50V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C114;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C115;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C116;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C117;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C118;100pF;;;
182-5830;1;;Vishay;Condensateur cms 0603 X7R;C119;220nF;25V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C120;100nF;16V;20%;
182-5635;1;;Vishay;Condensateur cms 0603 NPO ou COG;C121;62pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C122;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C123;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C124;100nF;16V;20%;
181-0543;1;TAJR475K006R;AVX;Condensateur tantale cms taille R;C125;4.7µF;6.3V;10%;RS : 547-9704    Farnell : 113-5070
181-0500;1;293D105X9016A2WE3;Vishay;Condensateur tantale cms taille A;C126;1µF;16V;;
185-0700;1;;TDK;Condensateur 0402 X5R;C127;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C128;10nF;50V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C129;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C130;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C131;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C132;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C133;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C134;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C135;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C136;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C137;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C138;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C139;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C140;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C141;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C142;10nF;50V;20%;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C143;68pF;;;
185-0030;1;;Vishay;Condensateur cms 0402 NPO ou COG;C144;6.8pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C145;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C146;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C147;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C148;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C149;4.7µF;25V;10%;
185-0110;1;;TDK;Condensateur 0402 NPO;C150;33pF;50V;5%;
185-0110;1;;TDK;Condensateur 0402 NPO;C151;33pF;50V;5%;
185-0100;1;;TDK;Condensateur 0402 NPO;C152;22pF;50V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C153;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C154;100nF;16V;20%;
182-5635;1;;Vishay;Condensateur cms 0603 NPO ou COG;C155;62pF;;;
181-0500;1;293D105X9016A2WE3;Vishay;Condensateur tantale cms taille A;C156;1µF;16V;;
185-0700;1;;TDK;Condensateur 0402 X5R;C157;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C158;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C159;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C160;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C161;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C162;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C163;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C164;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C165;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C166;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C167;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C168;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C169;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C170;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C171;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C172;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C173;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C174;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C175;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C176;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C177;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C178;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C179;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C180;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C181;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C182;4.7µF;25V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C183;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C184;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C185;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C186;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C187;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C188;10nF;50V;20%;
182-5750;1;;AVX;Condensateur cms 0603 X7R;C189;10nF;50V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C190;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C191;4.7µF;25V;10%;
185-0600;1;;TDK;Condensateur 0402 X7R;C192;10nF;50V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C193;4.7µF;25V;10%;
SANS;1;;Vishay;Condensateur cms 0603 NPO ou COG;C194;NC;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C195;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C196;4.7µF;25V;10%;
185-0300;1;;TDK;Condensateur 0402 NPO;C197;470pF;16V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C198;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C199;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C200;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C201;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C202;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C203;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C204;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C205;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C206;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C207;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C208;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C209;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C210;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C211;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C212;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C213;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C214;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C215;10nF;50V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C216;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C217;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C218;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C219;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C220;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C221;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C222;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C223;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C224;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C225;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C226;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C227;10nF;50V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C228;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C229;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C230;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C231;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C232;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C233;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C234;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C235;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C236;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C237;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C238;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C239;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C240;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C241;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C242;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C243;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C244;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C245;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C246;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C247;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C248;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C249;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C250;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C251;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C252;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C253;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C254;4.7µF;25V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C255;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C256;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C257;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C258;4.7µF;25V;10%;
182-5830;1;;Vishay;Condensateur cms 0603 X7R;C259;220nF;25V;20%;
182-5730;1;;Kemet;Condensateur cms 0603 X7R;C260;1nF;50V;10%;
185-0600;1;;TDK;Condensateur 0402 X7R;C261;10nF;50V;20%;
181-0549;1;T520B107M006ATE070;Kemet;Condensateur tantale cms taille B (ESR = 0.07 Ohm);C262;100µF;6V;20%;
181-0549;1;T520B107M006ATE070;Kemet;Condensateur tantale cms taille B (ESR = 0.07 Ohm);C263;100µF;6V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C264;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C265;100nF;16V;20%;
181-0542;1;293D475X9016A2WE3;Vishay;Condensateur tantale cms taille A;C266;4.7µF;16V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C267;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C268;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C269;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C270;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C271;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C272;100nF;16V;20%;
180-0955;1;GRM32DR61C106K;Murata;Condensateur cms 1210 X5R;C273;10µF;16V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C274;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C275;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C276;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C277;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C278;4.7µF;25V;10%;
SANS;1;;Vishay;Condensateur cms 0402;C279;NC;;;
185-0300;1;;TDK;Condensateur 0402 NPO;C280;470pF;16V;5%;
182-5730;1;;Kemet;Condensateur cms 0603 X7R;C281;1nF;50V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C282;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C283;100nF;16V;20%;
181-0542;1;293D475X9016A2WE3;Vishay;Condensateur tantale cms taille A;C284;4.7µF;16V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C285;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C286;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C287;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C288;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C289;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C290;100nF;16V;20%;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C291;68pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C292;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C293;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C294;100nF;16V;20%;
181-0542;1;293D475X9016A2WE3;Vishay;Condensateur tantale cms taille A;C295;4.7µF;16V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C296;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C297;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C298;100nF;16V;20%;
181-0560;1;293D476X96R3D2WE3;Vishay;Condensateur tantale cms taille D;C299;47µF;6V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C300;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C301;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C302;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C303;10µF;6.3V;10%;
181-0560;1;293D476X96R3D2WE3;Vishay;Condensateur tantale cms taille D;C304;47µF;6V;10%;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C305;68pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C306;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C307;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C308;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C309;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C310;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C311;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C312;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C313;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C314;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C315;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C316;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C317;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C318;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C319;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C320;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C321;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C322;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C323;100nF;16V;20%;
185-0030;1;;Vishay;Condensateur cms 0402 NPO ou COG;C324;6.8pF;;;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C325;68pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C326;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C327;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C328;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C329;100nF;16V;20%;
